alpha,arrivals_early,arrivals_late,arrivals_on_time,beta,capacity,config,distance_total,exec_s,gamma,history_last,lambda_weight,length_speed_kph,max_operation_time,min_travel_minutes,mu_weight,n_ants,n_iters,objective_cost,pct_on_time,penalty_alpha,penalty_beta,penalty_capacity,penalty_gamma,penalty_time,penalty_total,penalty_window,q,rho,run,scenario,status,targets,time_factor,total_time,unload_time,weight
1.0,1,0,9,2.5,20.0,street_time_beta2.5,456.8527317906188,0.21836910799993348,1.0,568.7651636295063,1.0,18.0,600.0,1.5,1.0,30,80,568.7651636295063,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,251.37388731130773,10,street_time
1.0,1,0,9,2.0,20.0,street_time_gamma0.7,436.2532786228539,0.21707404899916583,0.7,548.1657104617414,1.0,18.0,600.0,1.5,1.0,30,80,548.1657104617414,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,249.65726621399392,10,street_time
1.0,1,0,9,2.0,20.0,street_time_gamma1.3,486.2134601497438,0.21528120699986175,1.3,598.1258919886313,1.0,18.0,600.0,1.5,1.0,30,80,598.1258919886313,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,254.35152889492656,10,street_time
1.0,2,0,8,2.0,20.0,street_time_rho0.3,505.29692237247696,0.21343058599995857,1.0,601.2957777496069,1.0,18.0,600.0,1.5,1.0,30,80,601.2957777496069,80.0,1.0,1.0,0.0,1.0,0.0,95.99885537712998,95.99885537712998,100.0,0.3,2,E1_small,ok,10,5.0,240.02824095173014,10,street_time
1.0,1,0,9,2.0,20.0,street_time_rho0.7,447.4753388728321,0.21774061900032393,1.0,559.3877707117197,1.0,18.0,600.0,1.5,1.0,30,80,559.3877707117197,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.7,2,E1_small,ok,10,5.0,250.59243790149208,10,street_time
1.0,2,0,8,2.0,20.0,random_length_base,9159.314924625309,0.006309834000603587,1.0,9247.630285107572,1.0,18.0,600.0,1.5,1.0,30,80,9247.630285107572,80.0,1.0,1.0,0.0,1.0,0.0,88.31536048226417,88.31536048226417,100.0,0.5,2,E1_small,ok,10,5.0,340.9706092260194,10,length
1.0,1,0,9,2.0,20.0,random_street_time_base,795.6632512972056,0.0059726310000769445,1.0,934.6534702126089,1.0,18.0,600.0,1.5,1.0,30,80,934.6534702126089,90.0,1.0,1.0,0.0,1.0,0.0,138.99021891540332,138.99021891540332,100.0,0.5,2,E1_small,ok,10,5.0,305.82640407719566,10,street_time
1.0,1,0,9,2.0,20.0,greedy_length_base,5921.843811523459,0.006438856000386295,1.0,6028.758173212178,1.0,18.0,600.0,1.5,1.0,30,80,6028.758173212178,90.0,1.0,1.0,0.0,1.0,0.0,106.91436168871905,106.91436168871905,100.0,0.5,2,E1_small,ok,10,5.0,306.74640684700535,10,length
1.0,1,0,9,2.0,20.0,greedy_street_time_base,462.9248551969037,0.005934970999987854,1.0,574.8372870357912,1.0,18.0,600.0,1.5,1.0,30,80,574.8372870357912,90.0,1.0,1.0,0.0,1.0,0.0,111.91243183888753,111.91243183888753,100.0,0.5,2,E1_small,ok,10,5.0,251.87989759516483,10,street_time
1.0,1,0,9,2.0,20.0,length_base,5196.557521533378,0.22522085800028435,1.0,5343.912678321016,1.0,18.0,600.0,1.5,1.0,30,80,5343.912678321016,90.0,1.0,1.0,0.0,1.0,0.0,147.35515678763772,147.35515678763772,100.0,0.5,3,E1_small,ok,10,5.0,335.0990971127559,10,length
1.0,2,0,8,2.0,20.0,length_ants20,5445.504906008905,0.15777079999952548,1.0,5504.054157901513,1.0,18.0,600.0,1.5,1.0,20,80,5504.054157901513,80.0,1.0,1.0,0.0,1.0,0.0,58.549251892607685,58.549251892607685,100.0,0.5,3,E1_small,ok,10,5.0,250.44231529231809,10,length
1.0,1,0,9,2.0,20.0,length_ants40,5685.5581035559835,0.306252387999848,1.0,5828.27861204406,1.0,18.0,600.0,1.5,1.0,40,80,5828.27861204406,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,338.61445851357087,10,length
1.0,1,0,9,2.0,20.0,length_iters50,5444.587347654807,0.14874238799984596,1.0,5587.307856142883,1.0,18.0,600.0,1.5,1.0,30,50,5587.307856142883,90.0,1.0,1.0,0.0,1.0,0.0,142.72050848807578,142.72050848807578,100.0,0.5,3,E1_small,ok,10,5.0,334.5982792485513,10,length
